	moduleColor	GS.Subtypes_num	p.GS.Subtypes_num	MM.blue	p.MM.blue	MM.brown	p.MM.brown	MM.grey	p.MM.grey	MM.turquoise	p.MM.turquoise
SKA3|221150	blue	0.645582124051375	1.46913015438358e-25	0.94638710879837	1.40907577761357e-101	-0.543250579954453	3.9025832166923e-17	0.161495239924664	0.0207046686810538	-0.841751207008947	2.98951190516566e-56
E2F2|1870	blue	0.645410258654619	1.5273545856155e-25	0.866243411645208	4.30117950615386e-63	-0.376388033224982	2.6670257965594e-08	0.0955144830014394	0.173098910562109	-0.699691850897091	1.80387154984525e-31
DEPDC1|55635	blue	0.644532450717192	1.86202113329333e-25	0.929734929727522	5.0238466045104e-90	-0.539712729433412	6.80852136657965e-17	0.144788814877935	0.0383297084208949	-0.773780254699066	4.0346796929603e-42
EXO1|9156	blue	0.644502030632399	1.8748279235832e-25	0.948261929404128	4.18249474499487e-103	-0.561568900147169	1.96432652840969e-18	0.160061060392767	0.0218760636317349	-0.80948308175176	7.82314600196773e-49
BUB1|699	blue	0.639728106849698	5.44478611556765e-25	0.961325548608257	1.20769845818616e-115	-0.569378728681414	5.18805456754932e-19	0.169297108102263	0.0152374070909457	-0.829209930056676	3.48932388311116e-53
NCAPG|64151	blue	0.63728918933718	9.31952965987939e-25	0.946314122246586	1.61169819614498e-101	-0.586541468796201	2.44946724340099e-20	0.148168908694853	0.0339891233657954	-0.784332275189457	5.69930436985041e-44
ASPM|259266	blue	0.636009469176779	1.23319599955964e-24	0.941717045303724	5.33099718908801e-98	-0.578710836568921	1.00854863247008e-19	0.162123591747004	0.0202087981030497	-0.792921940194583	1.48345586810574e-45
MAD2L1|4085	blue	0.634351588483608	1.76916069543089e-24	0.890161864081482	3.15303038725025e-71	-0.502240356618844	1.68742712855191e-14	0.107424197070129	0.125247453424854	-0.792925140857682	1.48139291422242e-45
PRAME|23532	blue	0.633777806408639	2.00350722588815e-24	0.485405806553164	1.62515410033879e-13	-0.214132563738999	0.0020492182279752	0.0179006557018937	0.798914957637762	-0.391060261285064	6.73414277514395e-09
MND1|84057	blue	0.63360175145785	2.08134647500525e-24	0.885363942782465	1.87789623276415e-69	-0.463126545296262	2.70787018046362e-12	0.119438474762304	0.0880540252654208	-0.757135663935557	2.13342657851877e-39
CDK1|983	blue	0.633020899931202	2.35984286595321e-24	0.945214845225095	1.19224869366013e-100	-0.6609245833939	4.12483162031432e-27	0.152668289570974	0.0288640848486499	-0.791933911628796	2.2768360245844e-45
