nodeName	altName	nodeAttr[nodesPresent, ]
KIF4A|24137	NA	blue
KIFC1|3833	NA	blue
KLK4|9622	NA	blue
KLKP1|606293	NA	blue
KPNA2|3838	NA	blue
KREMEN2|79412	NA	blue
LDHD|197257	NA	blue
LHX2|9355	NA	blue
LMNB1|4001	NA	blue
LOC100133545|100133545	NA	blue
LOC100190938|100190938	NA	blue
LOC148709|148709	NA	blue
LOC283174|283174	NA	blue
LOC283867|283867	NA	blue
LRP4|4038	NA	blue
LRRC15|131578	NA	blue
LUZP2|338645	NA	blue
MAD2L1|4085	NA	blue
MCM10|55388	NA	blue
MELK|9833	NA	blue
MFAP2|4237	NA	blue
MKI67|4288	NA	blue
MLF1IP|79682	NA	blue
MMP11|4320	NA	blue
MMP13|4322	NA	blue
MMP1|4312	NA	blue
MMP3|4314	NA	blue
MMP9|4318	NA	blue
MND1|84057	NA	blue
MPPED2|744	NA	blue
MYBL2|4605	NA	blue
MYH11|4629	NA	blue
MYH7B|57644	NA	blue
MYOM2|9172	NA	blue
NACAD|23148	NA	blue
NAP1L2|4674	NA	blue
NCAPG|64151	NA	blue
NCAPH|23397	NA	blue
NDC80|10403	NA	blue
NEIL3|55247	NA	blue
NEK2|4751	NA	blue
NEURL|9148	NA	blue
NFKBIL2|4796	NA	blue
NKX3-2|579	NA	blue
NMU|10874	NA	blue
NOVA1|4857	NA	blue
NR3C2|4306	NA	blue
NTRK2|4915	NA	blue
NUAK2|81788	NA	blue
NUF2|83540	NA	blue
NUP210|23225	NA	blue
NUSAP1|51203	NA	blue
OIP5|11339	NA	blue
OLR1|4973	NA	blue
ORC1L|4998	NA	blue
ORC6L|23594	NA	blue
P4HA3|283208	NA	blue
PACSIN1|29993	NA	blue
PAQR4|124222	NA	blue
PAR5|8123	NA	blue
PARK2|5071	NA	blue
PBK|55872	NA	blue
PCDHGA2|56113	NA	blue
PDE11A|50940	NA	blue
PDGFD|80310	NA	blue
PER1|5187	NA	blue
PITX1|5307	NA	blue
PKMYT1|9088	NA	blue
PLAC1|10761	NA	blue
PLAC2|257000	NA	blue
PLK1|5347	NA	blue
PNPLA7|375775	NA	blue
POC1A|25886	NA	blue
POLQ|10721	NA	blue
POSTN|10631	NA	blue
PPAPDC1A|196051	NA	blue
PPP2R2C|5522	NA	blue
PPP4R1L|55370	NA	blue
PRAME|23532	NA	blue
PRC1|9055	NA	blue
PRR11|55771	NA	blue
PTTG1|9232	NA	blue
PYCR1|5831	NA	blue
RAD51AP1|10635	NA	blue
RAD51|5888	NA	blue
RAD54L|8438	NA	blue
RAPGEF3|10411	NA	blue
RDH16|8608	NA	blue
RDM1|201299	NA	blue
RECQL4|9401	NA	blue
RGN|9104	NA	blue
RGS4|5999	NA	blue
RPLP0P2|113157	NA	blue
RRM2|6241	NA	blue
RTKN2|219790	NA	blue
S100A7A|338324	NA	blue
S100A7|6278	NA	blue
S100P|6286	NA	blue
SALL4|57167	NA	blue
SAMD14|201191	NA	blue
SCN2B|6327	NA	blue
SDS|10993	NA	blue
SEMA6D|80031	NA	blue
SGOL1|151648	NA	blue
SH3RF2|153769	NA	blue
SHCBP1|79801	NA	blue
SKA1|220134	NA	blue
SKA3|221150	NA	blue
SLC14A1|6563	NA	blue
SLC16A12|387700	NA	blue
SLC16A3|9123	NA	blue
SLC24A2|25769	NA	blue
SLC26A4|5172	NA	blue
SLC47A2|146802	NA	blue
SLC7A4|6545	NA	blue
SLC7A5|8140	NA	blue
SNORD116-4|100033416	NA	blue
SOCS2|8835	NA	blue
SPAG5|10615	NA	blue
SPC24|147841	NA	blue
SPC25|57405	NA	blue
SPOCD1|90853	NA	blue
SPOCK3|50859	NA	blue
SPP1|6696	NA	blue
SQLE|6713	NA	blue
STIL|6491	NA	blue
SULF1|23213	NA	blue
SULT1C4|27233	NA	blue
SYNGR3|9143	NA	blue
TACC3|10460	NA	blue
TDO2|6999	NA	blue
TESC|54997	NA	blue
TFR2|7036	NA	blue
TK1|7083	NA	blue
TLCD1|116238	NA	blue
TM4SF18|116441	NA	blue
TMEM215|401498	NA	blue
TMEM90B|79953	NA	blue
TMEM92|162461	NA	blue
TMPRSS4|56649	NA	blue
TNFRSF9|3604	NA	blue
TNFSF4|7292	NA	blue
TNNT1|7138	NA	blue
TOP2A|7153	NA	blue
TPPP|11076	NA	blue
TPX2|22974	NA	blue
TRIM59|286827	NA	blue
TRIP13|9319	NA	blue
TROAP|10024	NA	blue
TRPA1|8989	NA	blue
TRPM3|80036	NA	blue
TTK|7272	NA	blue
TUBB3|10381	NA	blue
TYMS|7298	NA	blue
UBE2C|11065	NA	blue
UBE2S|27338	NA	blue
UBE2T|29089	NA	blue
UHRF1|29128	NA	blue
ULBP1|80329	NA	blue
UNC5B|219699	NA	blue
VCAN|1462	NA	blue
VSTM2A|222008	NA	blue
WBSCR28|135886	NA	blue
WDR62|284403	NA	blue
WISP1|8840	NA	blue
WIT1|51352	NA	blue
WT1|7490	NA	blue
XIRP1|165904	NA	blue
ZBTB16|7704	NA	blue
ZNF204P|7754	NA	blue
ZNF662|389114	NA	blue
ZNF676|163223	NA	blue
ZNF677|342926	NA	blue
ZNF695|57116	NA	blue
ZNF727|442319	NA	blue
ZSCAN23|222696	NA	blue
ZWINT|11130	NA	blue
psiTPTE22|387590	NA	blue
